#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
3300032914_41        -          aln                  -             5e-155  520.1  17.0   2.5e-07   46.7   0.0  30.4  30   0   0  30  30  22  10 -
3300036500_154       -          aln                  -           2.3e-150  505.1   0.9   1.3e-06   44.3   0.1  16.5  16   0   0  16  16  16  16 -
3300022599_41024     -          aln                  -           1.1e-142  480.5   3.1   2.3e-06   43.5   0.0  16.2  16   0   0  16  16  15  15 -
3300008263_19509     -          aln                  -           4.2e-141  475.5  62.4   0.00029   36.8   0.0  35.0  36   0   0  36  36  25  13 -
3300018897_652       -          aln                  -           1.1e-133  451.7   3.2   2.1e-07   46.9   0.4  14.4  14   0   0  14  14  13  13 -
3300019016_208       -          aln                  -           5.9e-133  449.4  10.0   1.9e-05   40.6   0.0  14.8  14   0   0  14  14  14  12 -
3300036352_126       -          aln                  -           1.1e-132  448.5   0.1    0.0003   36.8   0.0  21.7  21   0   0  21  21  19  12 -
3300018897_3891      -          aln                  -           1.4e-132  448.1   4.4   4.4e-07   45.9   0.1  12.4  12   0   0  12  12  12  12 -
3300018924_46        -          aln                  -           1.1e-128  435.7  32.7   7.6e-06   41.9   0.0  35.3  38   0   0  38  38  22   8 -
3300006356_21994     -          aln                  -           1.5e-128  435.2   0.6      0.17   28.0   0.0  32.0  30   0   0  30  30  23   8 -
2811994901_120       -          aln                  -           1.1e-127  432.4 119.6     0.065   29.3   0.1  35.8  34   1   0  34  34  26  13 -
3300021274_27888     -          aln                  -           1.1e-120  410.0  22.2    0.0017   34.3   0.0  22.6  22   0   0  22  22  19  11 -
3300012716_5420      -          aln                  -           1.3e-116  397.0  11.8      0.18   27.8   0.0  21.4  21   0   0  21  21  18  11 -
3300018924_72        -          aln                  -           1.4e-114  390.5   7.2     0.003   33.6   0.0  20.6  20   0   0  20  20  16  12 -
3300034020_43357     -          aln                  -           4.7e-111  379.2  82.4      0.35   26.9   0.3  40.4  39   0   0  39  39  20   7 -
3300033533_22        -          aln                  -           6.2e-110  375.5   8.9     0.007   32.4   0.0  26.4  27   0   0  27  27  16   8 -
2721755246_3696      -          aln                  -           1.2e-109  374.7 107.2     0.089   28.9   0.2  36.0  35   1   0  35  35  26   8 -
3300019100_137       -          aln                  -           1.3e-109  374.5   0.0     0.085   28.9   0.0  18.6  18   0   0  18  18  18  12 -
3300002344_31461     -          aln                  -           1.9e-103  354.8  47.9     0.001   35.0   0.0  19.9  19   0   0  19  19  16  12 -
3300018973_223       -          aln                  -           1.1e-101  349.2  39.4   3.2e-05   39.9   0.1  15.1  14   0   0  14  14  14  13 -
3300036281_1025      -          aln                  -           8.6e-101  346.3  16.1   1.6e-05   40.9   0.1  11.8  11   0   0  11  11  11  10 -
3300035606_240       -          aln                  -             4e-100  344.1   0.0   1.4e-07   47.5   0.1  10.3  10   0   0  10  10  10   9 -
3300035389_3184      -          aln                  -            2.3e-97  335.2  70.6        31   20.7   0.1  28.8  28   0   0  28  28  25   5 -
3300008031_138547    -          aln                  -            2.5e-96  331.9  49.0   2.6e-07   46.6   0.2  14.8  13   2   0  13  13  13  13 -
2708742581_3334      -          aln                  -              6e-96  330.7  96.3    0.0021   34.1   0.1  29.5  28   3   0  28  28  24   8 -
3300024992_186110    -          aln                  -            2.2e-94  325.7   0.7       4.9   23.3   0.1  22.0  21   1   0  21  21  17   4 -
3300005416_38444     -          aln                  -            2.3e-94  325.7   6.9    0.0022   34.0   0.0  22.0  21   0   0  21  21  15   8 -
3300008016_162672    -          aln                  -            3.9e-94  324.9  32.0   6.8e-05   38.8   0.2  13.2  12   1   0  12  12  12  12 -
3300019028_6         -          aln                  -            6.3e-94  324.2  31.3   0.00014   37.9   0.3  18.3  18   0   0  18  18  15   8 -
3300021603_80292     -          aln                  -            1.5e-93  323.1  72.3       4.3   23.4   0.1  26.4  25   1   0  25  25  22   8 -
3300032168_4197      -          aln                  -            3.4e-93  321.9  30.9   1.2e-07   47.6   0.1  15.9  15   0   0  15  15  14   8 -
3300019016_5         -          aln                  -            2.1e-92  319.3  40.8   1.6e-06   44.0   0.0  15.1  14   1   0  14  14  12  11 -
3300031012_113       -          aln                  -            2.7e-92  319.0  15.8   9.3e-05   38.4   0.1  14.6  14   0   0  14  14  12  11 -
3300008031_144753    -          aln                  -            1.9e-91  316.3   1.9   7.2e-09   51.6   0.0   9.7   9   0   0   9   9   9   8 -
3300030639_54859     -          aln                  -            1.9e-91  316.3  16.8    0.0092   32.0   0.0  13.1  12   0   0  12  12  12  11 -
3300031108_56        -          aln                  -            2.4e-91  315.9   0.0     0.029   30.4   0.0  13.5  13   0   0  13  13  13   9 -
3300035204_29580     -          aln                  -            2.3e-88  306.4 104.9       2.7   24.1   0.5  38.5  36   2   2  38  38  22   4 -
3300012370_149954    -          aln                  -            1.2e-87  304.1  39.9     0.022   30.8   0.1  26.9  27   0   0  27  27  15   7 -
3300009436_66553     -          aln                  -            8.6e-86  298.2  14.4   0.00022   37.2   0.0  17.3  17   0   0  17  17  14   8 -
3300021313_345122    -          aln                  -            5.2e-85  295.7   0.0   1.4e-05   41.0   0.0   8.3   8   0   0   8   8   8   8 -
3300018893_1144      -          aln                  -            1.1e-83  291.5  18.1     0.029   30.4   0.0  16.0  14   3   0  14  14  14  11 -
3300032466_784       -          aln                  -            6.5e-83  288.9  21.1   1.1e-08   51.0   0.2  11.6  11   0   0  11  11  10  10 -
3300036424_261       -          aln                  -            1.4e-82  287.9   0.0   3.3e-05   39.9   0.0  12.7  12   0   0  12  12  11   8 -
3300036455_347       -          aln                  -            2.8e-82  286.9  24.4    0.0052   32.8   0.2  16.3  15   1   0  15  15  12   9 -
3300036281_943       -          aln                  -            5.7e-82  285.9   0.0   4.6e-11   58.6   0.0   7.4   6   0   0   6   6   6   6 -
3300033525_384       -          aln                  -            1.3e-81  284.8   7.8   7.8e-06   41.9   0.0  11.9  11   0   0  11  11  10   9 -
3300031114_13023     -          aln                  -            5.4e-78  273.2  22.9   7.6e-06   41.9   0.7   9.9   9   1   0   9   9   9   9 -
3300008263_102207    -          aln                  -            4.9e-77  270.1   0.0    0.0068   32.4   0.0  14.4  14   0   0  14  14  13   5 -
3300008013_274545    -          aln                  -            5.6e-77  269.9   0.0   9.3e-06   41.6   0.1   9.3   9   0   0   9   9   9   8 -
3300007504_77490     -          aln                  -            1.6e-76  268.4  11.5       1.1   25.4   0.0  21.8  20   0   0  20  20  12   6 -
3300032728_7031      -          aln                  -              3e-76  267.6  11.7   3.8e-06   42.9   0.1  10.0   9   0   0   9   9   9   8 -
3300025506_22565     -          aln                  -            4.8e-76  266.9  73.9    0.0051   32.8   0.7  15.6  15   0   0  15  15  15  10 -
3300018833_452       -          aln                  -            1.3e-75  265.5  16.0    0.0002   37.4   0.1  11.1  10   0   0  10  10  10   9 -
3300028590_152678    -          aln                  -              1e-74  262.6   0.0     0.057   29.5   0.0  15.4  15   0   0  15  15  12   9 -
3300003307_53403     -          aln                  -            1.8e-74  261.9  26.6     0.006   32.6   0.1  12.6  12   0   0  12  12  11  10 -
3300009129_127790    -          aln                  -              2e-74  261.7   0.4   9.6e+02   15.9   0.0  27.1  26   0   0  26  26  14   0 -
3300008044_708127    -          aln                  -            3.1e-74  261.1   7.7   3.4e-06   43.0   0.0   8.6   8   0   0   8   8   8   8 -
3300018924_62        -          aln                  -            4.4e-74  260.6  21.8   0.00031   36.7   1.0  13.2  12   0   0  12  12  10   9 -
3300013075_9663      -          aln                  -            5.3e-72  254.0   0.0     2e-07   47.0   0.0   8.3   8   0   0   8   8   8   7 -
2816332377_2271      -          aln                  -            3.5e-71  251.4   0.0   5.9e+02   16.6   0.0  28.8  27   0   0  27  27  13   0 -
3300009754_43807     -          aln                  -            4.9e-71  250.9  14.7     0.048   29.7   0.0  12.6  12   0   0  12  12  11   9 -
3300018853_81        -          aln                  -            5.4e-71  250.7  10.3   6.8e-05   38.9   0.0  13.4  12   1   0  12  12  11   7 -
3300031236_56383     -          aln                  -            9.9e-71  249.9  64.3        10   22.2   0.2  21.0  21   0   0  21  21  17   7 -
3300018924_8801      -          aln                  -            5.7e-70  247.4   5.0   5.8e-05   39.1   0.0   9.6   9   0   0   9   9   9   7 -
3300031709_4697      -          aln                  -            1.2e-69  246.4  16.3   0.00096   35.2   0.0  12.4  11   2   1  12  12  10   7 -
3300034020_28788     -          aln                  -            1.4e-69  246.2  52.9   1.1e+03   15.8   0.0  37.6  39   0   0  39  39  16   0 -
3300004803_210929    -          aln                  -            2.3e-69  245.5   2.3     0.032   30.3   0.0  16.9  16   0   0  16  16  14   3 -
3300018965_357       -          aln                  -            1.1e-68  243.3   0.6     0.015   31.3   0.0  12.4  12   0   0  12  12  12   6 -
3300008033_228361    -          aln                  -            1.4e-68  243.0  53.4   0.00014   37.9   1.4  13.4  10   9   0  10  10   9   9 -
3300022597_5441      -          aln                  -            4.4e-68  241.4  37.9     3e-06   43.2   0.1  14.2  14   0   0  14  14  11   7 -
3300036111_66        -          aln                  -            4.5e-68  241.4  17.9     0.025   30.7   0.0  12.2  11   0   0  11  11  11  10 -
3300019052_732       -          aln                  -            1.9e-67  239.4  23.2   1.5e-05   41.0   0.0  10.9  11   0   0  11  11   9   8 -
3300018896_2916      -          aln                  -            5.4e-67  237.9  27.5   1.6e-06   44.1   0.3  11.6  11   0   0  11  11   8   8 -
3300022597_80429     -          aln                  -            3.9e-66  235.2  15.6   1.8e-05   40.7   0.3  10.2   9   0   0   9   9   9   7 -
3300018789_445       -          aln                  -            4.5e-65  231.8   3.2   0.00083   35.4   0.0   9.3   9   0   0   9   9   8   7 -
3300030663_68697     -          aln                  -            2.9e-64  229.2  12.7   0.00012   38.1   0.2  10.2   9   0   0   9   9   9   7 -
3300008832_739       -          aln                  -            3.2e-64  229.0   0.0     0.045   29.8   0.0  12.8  13   0   0  13  13  10   7 -
3300008109_63806     -          aln                  -            3.4e-64  229.0   0.2     9e-05   38.5   0.0   7.3   7   0   0   7   7   7   7 -
3300032466_965       -          aln                  -            4.4e-64  228.6   0.0      0.11   28.5   0.0  14.5  14   0   0  14  14  10   5 -
3300009370_216831    -          aln                  -            8.1e-64  227.7  10.7      0.29   27.2   0.0  18.2  16   0   0  16  16  11   5 -
3300033530_2343      -          aln                  -            1.3e-63  227.1   0.0   5.2e-05   39.2   0.1   8.8   9   0   0   9   9   8   7 -
3300009376_399117    -          aln                  -            3.8e-63  225.6  33.6    0.0091   32.0   0.3  19.7  16   3   2  18  18  12   6 -
3300031114_10896     -          aln                  -              6e-63  224.9   5.7   5.4e-08   48.8   0.0   6.2   6   0   0   6   6   5   5 -
3300012394_204749    -          aln                  -            6.7e-63  224.8  66.6   0.00089   35.3   0.1  15.1  14   1   0  14  14  13   7 -
3300025883_33054     -          aln                  -            1.2e-62  224.0  33.2   7.6e+02   16.3   0.6  24.2  23   0   0  23  23  18   0 -
3300008006_166898    -          aln                  -            1.7e-62  223.5  13.8   3.8e-06   42.9   0.0   9.3   8   0   0   8   8   8   6 -
3300019015_5633      -          aln                  -            1.7e-62  223.5   7.6     5e-06   42.5   0.0   8.5   8   0   0   8   8   6   6 -
3300008013_867931    -          aln                  -            2.5e-62  223.0   0.7   3.1e-07   46.3   0.0   7.3   7   0   0   7   7   7   7 -
3300002345_57552     -          aln                  -            4.4e-62  222.2   2.8    0.0051   32.8   0.0  12.5  13   0   0  13  13  10   5 -
3300018924_9454      -          aln                  -            5.3e-62  221.9  28.0   6.2e-07   45.4   0.1  11.3  11   0   0  11  11   8   6 -
2654587929_3251      -          aln                  -            7.8e-62  221.4  38.4      0.02   30.9   0.1  12.1  11   0   0  11  11  11   8 -
3300008013_51309     -          aln                  -            9.9e-62  221.0  10.7   4.4e-05   39.4   0.1   9.2   8   1   0   8   8   8   7 -
3300037015_2829      -          aln                  -            1.7e-61  220.3  22.8    0.0014   34.6   0.1  15.5  15   0   0  15  15  11   3 -
3300009129_156649    -          aln                  -            4.2e-61  219.0  31.2        27   20.9   0.0  25.6  23   2   2  25  25  12   3 -
3300013075_43715     -          aln                  -            4.6e-61  218.9   0.0   1.1e-07   47.8   0.0   8.4   8   0   0   8   8   8   7 -
3300008013_23231     -          aln                  -            7.8e-61  218.2   1.9   1.5e-05   41.0   0.0   6.3   6   0   0   6   6   6   6 -
3300036111_17267     -          aln                  -            1.6e-60  217.1   1.4   4.3e-07   45.9   0.0   5.8   6   0   0   6   6   5   5 -
3300013075_150002    -          aln                  -            3.4e-60  216.1   0.2   5.6e-07   45.5   0.1   8.4   8   0   0   8   8   8   8 -
3300022836_34176     -          aln                  -              9e-60  214.8  45.0       2.7   24.1   0.7  17.0  15   1   0  15  15  14   5 -
3300012394_116987    -          aln                  -            1.1e-59  214.5   6.8   1.3e-05   41.1   0.3   8.0   7   0   0   7   7   7   6 -
3300002345_50817     -          aln                  -            2.5e-59  213.4   0.1   4.4e-05   39.4   0.0   9.1   8   0   0   8   8   8   6 -
3300019256_414875    -          aln                  -            3.8e-59  212.8   2.9   3.8e-05   39.7   0.1   7.3   7   0   0   7   7   7   7 -
3300035602_140       -          aln                  -            8.6e-59  211.6   1.6   0.00024   37.1   0.0  11.9  12   0   0  12  12   8   6 -
3300036435_3986      -          aln                  -            1.4e-58  211.0  17.5   1.5e-06   44.2   0.0   7.8   7   0   0   7   7   7   7 -
3300031750_23414     -          aln                  -            1.8e-58  210.6  13.8   2.1e-07   46.9   0.1   8.5   7   1   0   7   7   7   6 -
3300032897_145130    -          aln                  -            3.1e-58  209.8  16.8        11   22.1   0.0  20.2  19   0   0  19  19  11   4 -
3300030554_202       -          aln                  -            3.1e-58  209.8   0.1    0.0016   34.4   0.0   8.5   8   0   0   8   8   8   7 -
3300019015_4707      -          aln                  -            3.4e-58  209.7   8.4   1.5e-05   41.0   0.0   7.9   8   0   0   8   8   6   6 -
3300033537_448       -          aln                  -            3.5e-58  209.7  12.3   6.2e-05   39.0   0.0  10.0   9   0   0   9   9   9   6 -
3300019002_1665      -          aln                  -            3.8e-58  209.5   5.8     0.048   29.7   0.0  11.0  10   0   0  10  10  10   6 -
3300034020_18828     -          aln                  -            8.2e-58  208.5   3.8   1.6e+02   18.4   0.1  28.3  30   0   0  30  30   8   2 -
3300021169_944916    -          aln                  -            1.2e-57  208.0  14.9   0.00027   36.9   0.0   8.1   7   0   0   7   7   7   7 -
3300018897_58103     -          aln                  -            1.2e-57  207.9   0.2   3.8e-07   46.1   0.0   5.2   5   0   0   5   5   5   5 -
2788500351_1971      -          aln                  -            2.3e-57  207.0  23.7       0.5   26.5   0.4  12.6  11   0   0  11  11  11   7 -
3300035602_102       -          aln                  -            6.7e-57  205.6   0.9     0.026   30.6   0.0  15.8  15   0   0  15  15  12   3 -
3300031114_8277      -          aln                  -            1.2e-56  204.8   0.0   7.4e-07   45.1   0.0   6.4   6   0   0   6   6   6   6 -
3300026407_461       -          aln                  -            1.5e-56  204.4   8.0      0.72   25.9   0.0  14.4  14   0   0  14  14  11   4 -
2654587929_3544      -          aln                  -            1.9e-56  204.1  41.7      0.99   25.5   0.1  15.7  15   1   0  15  15  13   6 -
3300020081_1856102   -          aln                  -            2.1e-56  204.0  17.3   6.6e-07   45.3   0.0  10.7  10   0   0  10  10   8   5 -
3300008998_60983     -          aln                  -            2.7e-56  203.6   0.1   2.9e-08   49.6   0.0   5.9   6   0   0   6   6   5   5 -
3300031717_808       -          aln                  -            6.6e-56  202.4  63.9      0.18   27.9   0.2  16.4  16   0   0  16  16  14   4 -
3300031114_3169      -          aln                  -            1.2e-55  201.6   2.4   2.1e-08   50.1   0.0   6.2   6   0   0   6   6   5   5 -
3300034357_167954    -          aln                  -            1.2e-55  201.5   0.0     1e-07   47.9   0.0   7.7   7   0   0   7   7   6   6 -
3300009559_1192      -          aln                  -            1.7e-55  201.0   0.1     0.077   29.1   0.0   9.4   9   0   0   9   9   9   6 -
3300032168_43285     -          aln                  -            1.9e-55  200.9  13.7   2.4e-08   49.9   0.1   7.4   7   0   0   7   7   6   5 -
3300032897_68940     -          aln                  -            2.5e-55  200.5  37.0     0.045   29.8   0.1  12.8  12   0   0  12  12  12   8 -
3300021169_990312    -          aln                  -            2.8e-55  200.4   1.5   0.00026   37.0   0.1   6.6   7   0   0   7   7   6   6 -
3300027917_934747    -          aln                  -            3.3e-55  200.1  43.2    0.0031   33.5   0.2  12.7  12   0   0  12  12  12   7 -
2616644809_2031      -          aln                  -            5.7e-55  199.4  59.3     0.003   33.6   0.3  16.0  15   0   0  15  15  12   6 -
3300035602_862       -          aln                  -              1e-54  198.5   6.2   8.3e-05   38.6   0.1   9.2   9   0   0   9   9   8   5 -
3300035202_99948     -          aln                  -            1.7e-54  197.8   0.2        38   20.4   0.0  23.3  22   1   0  22  22   9   1 -
3300034020_19392     -          aln                  -            1.9e-54  197.7   1.3   1.8e+02   18.3   0.0  26.4  27   0   0  27  27   9   1 -
3300004802_41447     -          aln                  -            2.1e-54  197.6  78.3   0.00029   36.8   0.5  14.2  12   2   0  12  12  11  10 -
3300003684_43251     -          aln                  -            2.9e-54  197.1   1.7     0.043   29.9   0.1  11.7  12   0   0  12  12  10   6 -
3300018789_8668      -          aln                  -              3e-54  197.0   0.5   2.6e-07   46.6   0.0   6.6   7   0   0   7   7   5   5 -
3300021313_36557     -          aln                  -            4.7e-54  196.4   0.1       6.8   22.8   0.0  13.1  13   0   0  13  13  11   4 -
3300004097_633290    -          aln                  -            9.2e-53  192.3   1.7   2.6e-06   43.4   0.0   9.6   9   2   0   9   9   7   5 -
3300010379_39343     -          aln                  -            9.3e-53  192.3  17.7         4   23.6   0.0  15.0  13   0   0  13  13  12   5 -
3300031725_6069      -          aln                  -            1.9e-52  191.3  12.1   3.6e-08   49.4   0.0   7.7   7   2   0   7   7   6   5 -
3300008046_116391    -          aln                  -            2.9e-52  190.7   3.5   0.00037   36.5   0.0   7.3   7   1   0   7   7   6   6 -
3300008031_97557     -          aln                  -            4.3e-52  190.1  30.2   0.00023   37.2   0.1  13.0   9   6   0   9   9   8   7 -
3300020078_1377429   -          aln                  -            4.5e-52  190.1   0.1   0.00083   35.4   0.0  10.7  12   0   0  12  12   7   5 -
3300032746_715       -          aln                  -            4.6e-52  190.1   1.5   2.5e-05   40.3   0.0   7.1   7   0   0   7   7   6   5 -
3300006393_603082    -          aln                  -            4.7e-52  190.0   0.0   0.00019   37.4   0.0   8.5   8   0   0   8   8   7   6 -
3300032466_2977      -          aln                  -            4.9e-52  190.0   9.5   8.5e-06   41.8   0.0  11.7  10   1   0  10  10   8   3 -
3300036435_3155      -          aln                  -            5.5e-52  189.8  11.6   6.9e-07   45.3   0.2   5.9   6   0   0   6   6   5   5 -
3300035508_36335     -          aln                  -            5.5e-52  189.8   0.8   3.1e-05   39.9   0.0   7.4   7   1   0   7   7   6   5 -
3300035689_53849     -          aln                  -              1e-51  188.9  51.0   1.8e+02   18.2   0.1  29.2  30   0   0  30  30  11   1 -
3300018924_1684      -          aln                  -            4.9e-51  186.8   4.4      0.16   28.1   0.0  10.5  10   0   0  10  10   9   6 -
3300019002_8782      -          aln                  -            5.1e-51  186.7   0.5   2.8e-06   43.3   0.0   7.9   7   0   0   7   7   7   5 -
3300018953_423       -          aln                  -            6.2e-51  186.4   0.0      0.11   28.6   0.0  10.8  10   1   0  10  10   8   7 -
3300012394_117877    -          aln                  -            7.9e-51  186.1   1.0   5.5e-05   39.1   0.0   5.4   5   0   0   5   5   5   5 -
3300002344_67656     -          aln                  -            8.6e-51  186.0   0.5   1.2e-06   44.4   0.0   6.8   6   0   0   6   6   6   5 -
3300032514_2484      -          aln                  -            5.1e-50  183.5  42.3   1.9e-06   43.8   0.0  12.3  13   1   0  13  13   8   6 -
3300009664_90450     -          aln                  -            7.9e-50  182.9  26.5     0.013   31.5   0.1   9.8   9   1   0   9   9   7   7 -
3300033530_27948     -          aln                  -            9.5e-50  182.6   0.3   4.5e-08   49.0   0.0   5.3   5   0   0   5   5   5   5 -
3300036435_508       -          aln                  -            1.8e-49  181.7   1.5    0.0094   32.0   0.0  11.2  10   0   0  10  10   9   5 -
3300008031_71903     -          aln                  -            2.2e-49  181.4  15.2   1.4e-07   47.5   0.1   9.4  10   0   0  10  10   7   4 -
3300008832_51447     -          aln                  -            2.6e-49  181.2   0.1    0.0016   34.5   0.0   6.3   6   0   0   6   6   6   6 -
3300037029_725       -          aln                  -            3.7e-49  180.7   0.0       5.9   23.0   0.0  15.3  14   0   0  14  14  11   2 -
3300003307_61977     -          aln                  -            4.3e-49  180.5   0.0    0.0049   32.9   0.0   8.5   8   0   0   8   8   8   6 -
3300018924_674       -          aln                  -            4.7e-49  180.4  26.5   0.00021   37.3   0.0  12.8  13   0   0  13  13   9   4 -
3300012716_47730     -          aln                  -            5.2e-49  180.3  13.6    0.0084   32.1   0.0  11.1  10   1   0  10  10   9   5 -
3300008031_88780     -          aln                  -            5.5e-49  180.2  31.7     0.018   31.1   0.2  13.4  10   3   0  10  10   8   6 -
3300009559_136       -          aln                  -            1.1e-48  179.3   7.1    0.0096   32.0   0.0   9.5   9   0   0   9   9   8   5 -
3300021169_32896     -          aln                  -            2.2e-48  178.3   2.3   8.5e-08   48.2   0.1   6.0   5   0   0   5   5   5   5 -
3300034020_114583    -          aln                  -            8.3e-48  176.4   0.0   2.8e+03   14.4   0.0  24.2  22   0   0  22  22   8   0 -
3300036111_372       -          aln                  -            8.5e-48  176.4  20.6   0.00073   35.5   0.2  11.4   9   2   2  11  11   7   5 -
3300032748_3573      -          aln                  -            1.2e-47  175.9   5.6     0.038   30.0   0.0   8.5   7   3   0   7   7   7   6 -
3300008033_135714    -          aln                  -            1.3e-47  175.8  10.0   8.7e-05   38.5   0.0   7.7   7   1   0   7   7   6   6 -
3300032519_3842      -          aln                  -            2.2e-47  175.1   7.3   1.7e-05   40.8   0.3   7.2   6   2   0   6   6   6   6 -
3300025708_146095    -          aln                  -            2.6e-47  174.8  67.8         2   24.5   0.4  17.4  15   1   0  15  15  14   3 -
3300008006_60339     -          aln                  -            2.7e-47  174.7   0.4   8.2e-06   41.8   0.0   5.9   5   0   0   5   5   5   5 -
3300028762_107557    -          aln                  -            3.5e-47  174.4   3.9        66   19.7   0.0  12.8  12   0   0  12  12  10   4 -
3300032168_9157      -          aln                  -            3.9e-47  174.3   7.4   1.2e-08   50.9   0.8   6.7   7   0   0   7   7   4   4 -
3300018789_892       -          aln                  -            5.6e-47  173.7   0.9    0.0037   33.3   0.0   9.0   8   0   0   8   8   7   5 -
3300018694_164       -          aln                  -            5.9e-47  173.7   0.1   2.8e-05   40.1   0.0   6.4   7   0   0   7   7   5   5 -
3300032823_8282      -          aln                  -            7.8e-47  173.3   6.0   0.00048   36.1   0.0   8.5   7   2   0   7   7   7   5 -
3300018970_4787      -          aln                  -            8.7e-47  173.1  10.1   4.9e-05   39.3   0.0   9.9  10   0   0  10  10   7   5 -
3300032168_105687    -          aln                  -            1.1e-46  172.8  11.4   0.00061   35.8   0.0   7.0   6   1   0   6   6   6   6 -
3300018924_12207     -          aln                  -            1.6e-46  172.3   0.1      0.24   27.5   0.0   9.5   9   0   0   9   9   9   4 -
3300009392_6127      -          aln                  -            1.7e-46  172.2   3.9   0.00028   36.9   0.0   7.6   7   1   0   7   7   5   5 -
3300002846_1644      -          aln                  -            3.2e-46  171.3  39.1       9.6   22.3   0.3  17.2  18   1   0  18  18  11   4 -
3300003684_36038     -          aln                  -            3.2e-46  171.3   2.9   1.1e-05   41.3   0.0   9.5   9   0   0   9   9   7   4 -
3300008013_78385     -          aln                  -            4.8e-46  170.8   0.0     1e-05   41.5   0.0   7.4   7   0   0   7   7   6   6 -
3300035602_1931      -          aln                  -              5e-46  170.7   0.0   1.1e-07   47.8   0.0   5.4   5   0   0   5   5   5   5 -
3300009559_585       -          aln                  -            5.1e-46  170.7   0.3       0.3   27.2   0.0   8.6   8   0   0   8   8   7   6 -
3300032470_9031      -          aln                  -            6.5e-46  170.3   0.0    0.0018   34.3   0.0   7.4   7   0   0   7   7   7   6 -
3300009187_141014    -          aln                  -            6.8e-46  170.3  12.6      0.25   27.4   0.0   9.1   8   0   0   8   8   8   7 -
3300019013_2594      -          aln                  -            8.9e-46  169.9   3.5   3.3e-05   39.9   0.0   6.9   7   0   0   7   7   5   5 -
3300008013_33281     -          aln                  -            1.2e-45  169.5  11.6   2.6e-07   46.6   0.1   7.5   8   0   0   8   8   6   4 -
3300009083_751688    -          aln                  -            1.2e-45  169.4  12.3       1.4   25.0   0.2  11.6   9   5   0   9   9   9   6 -
3300031750_3792      -          aln                  -            2.2e-45  168.6  10.5     3e-06   43.2   0.0  10.5   9   1   0   9   9   7   5 -
3300018974_12774     -          aln                  -            5.4e-45  167.4   1.2    0.0081   32.2   0.0   8.7   9   0   0   9   9   7   5 -
